Pool ID,AlphaCode,NumericCode,Lat,Long,HH,P1 (max),P2,P3,Mean pool depth,Deeper than recorded
RU60,RU,60,43.46044103,-79.75267402,25,1.045,0.762,1.03,0.946,
RU61,RU,61,43.45960602,-79.752052,25,0.585,0.492,0.535,0.537,
RU62,RU,62,43.45932598,-79.75165897,27,1.227,0.395,0.427,0.683,
RU63,RU,63,43.45893899,-79.75050302,33,0.694,0.38,0.339,0.471,
RU64,RU,64,43.45865602,-79.75000698,44,0.64,0.415,0.316,0.457,
RU65,RU,65,43.45795101,-79.749406,8,0.789,0.355,0.374,0.506,
RU66,RU,66,43.45763099,-79.74648298,37,0.948,0.379,0.307,0.545,
RU67,RU,67,43.45754701,-79.74519602,19,0.604,0.399,0.363,0.455,
RU68,RU,68,43.458049,-79.74383304,21,0.779,0.392,0.47,0.547,
RU69,RU,69,43.45799301,-79.742216,22,1.214,0.363,0.333,0.637,
RU70,RU,70,43.45800801,-79.74020602,34,0.115,0.338,0.653,0.369,
RU71,RU,71,43.45805302,-79.73793201,35,0.546,0.372,0.387,0.435,
RU72,RU,72,43.457489,-79.73683197,39,0.981,0.544,0.503,0.676,
RU73,RU,73,43.45615502,-79.735571,84,0.671,0.383,0.372,0.475,
RU74,RU,74,43.45546,-79.73510404,104,0.609,0.478,0.312,0.466,
RU75,RU,75,43.45505901,-79.73484504,24,1.23,0.415,0.692,0.779,Yes
